municipio_codigo|distrito_nombre|direccion_via_nombre|centro_tipo_descripcion|dat_codigo|direccion_codigo_postal|centro_titularidad|contacto_telefono2|contacto_telefono3|centro_tipo_desc_abreviada|direccion_numero|contacto_telefono1|centro_codigo|contacto_web|dat_nombre|centro_tipo_codigo|municipio_nombre|distrito_codigo|contacto_fax|direccion_coor_y|centro_titular|direccion_coor_x|direccion_via_tipo|centro_nombre|contacto_telefono4|contacto_email1|coord_x_centrica|coord_y_centrica|distancia_euclideana|ranking_ue
2||Víctor Hurtado|COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|3|28864|PÚBLICO|||CP INF-PRI-SEC|s/n|918844589|28000029|http://www.educa.madrid.org/cp.sanblas.ajalvir|Madrid-Este|70|Ajalvir||918844211|4487797.0|COMUNIDAD DE MADRID|458832.0|CALLE|SAN BLAS||cp.sanblas.ajalvir@educa.madrid.org|440157.3842874543|4474481.943970768|22935.38726668577|1060.0
4||del Río Alagón|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|2|28607|PÚBLICO|||CP INF-PRI|1|918120652|28000042|http://www.educa.madrid.org/cp.elalamo.elalamo|Madrid-Sur|14|Álamo, El||918122834|4453703.0|COMUNIDAD DE MADRID|415961.0|CALLE|EL ALAMO||cp.elalamo.elalamo@educa.madrid.org|440157.3842874543|4474481.943970768|31894.035886454887|1312.0
5||San Ignacio de Loyola|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|3|28806|PÚBLICO|||CP INF-PRI|13|918882368|28000054|http://www.educa.madrid.org/cp.antoniodenebrija.alcala|Madrid-Este|14|Alcalá de Henares||918882368|4482313.0|COMUNIDAD DE MADRID|468386.0|CALLE|ANTONIO DE NEBRIJA||cp.antoniodenebrija.alcala@educa.madrid.org|440157.3842874543|4474481.943970768|29294.712553284357|1223.0
5||San Juan|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|3|28801|PÚBLICO|615303251||CP INF-PRI|2|918880447|28000066|http://www.educa.madrid.org/cp.cardenalcisnero.alcala|Madrid-Este|14|Alcalá de Henares||918837578|4481259.0|COMUNIDAD DE MADRID|468658.0|CALLE|CARDENAL CISNEROS||cp.cardenalcisnero.alcala@educa.madrid.org|440157.3842874543|4474481.943970768|29295.28263078476|1224.0
5||Giner de los Ríos|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|3|28800|PÚBLICO|||CP INF-PRI|5|918889973|28000078|http://www.educa.madrid.org/cp.cervantes.alcala|Madrid-Este|14|Alcalá de Henares||918816276|4481511.0|COMUNIDAD DE MADRID|469547.0|CALLE|CERVANTES||cp.cervantes.alcala@educa.madrid.org|440157.3842874543|4474481.943970768|30218.490041582136|1265.0
5||Infantado|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|3|28807|PÚBLICO|918829222||CP INF-PRI|2|918880958|28000081|http://www.educa.madrid.org/cp.daoizyvelarde.alcala|Madrid-Este|14|Alcalá de Henares||918880958|4481956.0|COMUNIDAD DE MADRID|468826.0|CALLE|DAOIZ Y VELARDE||cp.daoizyvelarde.alcala@educa.madrid.org|440157.3842874543|4474481.943970768|29626.863492474604|1243.0
5||Escritorios|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|3|28801|PRIVADO CONCERTADO|918880073||CPR INF-PRI-SEC|6|918880654|28000157|http://www.colegiofilipensealcaladehenares.es|Madrid-Este|72|Alcalá de Henares||918836927|4481221.0|RELIGIOSAS FILIPENSES|468895.0|CALLE|SAGRADO CORAZON DE JESUS||cc.scorazondejesus.alcala@educa.madrid.org|440264.7489361702|4474293.580851064|29456.415464936876|434.0
5||San Felipe Neri|CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA|3|28801|PRIVADO CONCERTADO|||CPR INF-PRI|4|918881397|28000224|www.colegiosanfelipe.es|Madrid-Este|15|Alcalá de Henares||918881397|4481288.0|CONGREGACION DEL ORATORIO DE SAN FELIPE NERI|468721.0|CALLE|SAN FELIPE NERI||cc.sanfelipeneri.alcala@educa.madrid.org|440264.7489361702|4474293.580851064|29303.244254497095|431.0
5||Lope de Figueroa|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|3|28804|PRIVADO CONCERTADO|918880356||CPR INF-PRI-SEC|27|918893158|28000303|http://www.escolapiosalcala.es|Madrid-Este|72|Alcalá de Henares||918820850|4481495.0|ESCUELAS PIAS PROVINCIA BETANIA|470018.0|AVDA|ESCUELAS PIAS||cc.escuelaspias.alcala@educa.madrid.org|440264.7489361702|4474293.580851064|30612.356763665728|443.0
5||de la Ronda Fiscal|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|3|28803|PÚBLICO|||CP INF-PRI|44|918823334|28000315|http://www.educa.madrid.org/cp.emperadorfernan.alcala|Madrid-Este|14|Alcalá de Henares||918807542|4480180.0|COMUNIDAD DE MADRID|468369.0|CALLE|EMPERADOR FERNANDO||cp.emperadorfernan.alcala@educa.madrid.org|440157.3842874543|4474481.943970768|28781.297809942917|1202.0
